"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"130",2008,0.9329342,0.0402492,0.7976735,0.9800329,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"131",2009,0.8116486,0.0427334,0.7135886,0.8817012,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"132",2010,0.9230457,0.0394615,0.8014854,0.9727038,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"133",2011,0.8941938,0.050317,0.7487446,0.9599479,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"134",2012,0.7545671,0.0484134,0.6481101,0.8369215,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"135",2013,0.9044599,0.0634866,0.6916381,0.9755839,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"136",2014,0.7193711,0.0679389,0.5699707,0.8321521,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"137",2015,0.7140116,0.0606571,0.582424,0.8171511,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"138",2016,0.6999703,0.0558106,0.5808556,0.7970611,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"139",2017,0.7903344,0.0581251,0.6546242,0.8823065,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"140",2018,0.8070435,0.061555,0.6583973,0.9007571,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"141",2019,0.7481268,0.093755,0.5283315,0.8873392,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"142",2009,0.7720191,0.0714161,0.6045494,0.8823669,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"143",2010,0.9477254,0.0293105,0.850428,0.9829958,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"144",2011,0.9480452,0.0237722,0.8763242,0.9791633,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"145",2012,0.8797803,0.0327452,0.799559,0.9306787,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"146",2013,0.86277,0.037396,0.7719622,0.9211122,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"147",2014,0.7116292,0.0515306,0.6013608,0.8014659,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"148",2015,0.8848556,0.042339,0.7728994,0.9455106,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"149",2016,0.8620843,0.0547607,0.7170698,0.9390862,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"150",2017,0.7689701,0.0542155,0.6466545,0.8582273,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"151",2018,0.7460851,0.0712365,0.5843885,0.8599489,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"152",2019,0.8312624,0.0785516,0.621744,0.9365674,"Black-legged kittiwake","Isfjorden","Black-legged kittiwake-Isfjorden"
"153",2004,0.897823,0.0439303,0.774636,0.9573791,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"154",2005,0.8284618,0.0465625,0.7175988,0.9017612,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"155",2006,0.8884044,0.0352088,0.7987468,0.9410669,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"156",2007,0.9305427,0.0277458,0.852414,0.9688245,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"157",2008,0.8367366,0.0372924,0.7500893,0.8974494,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"158",2009,0.8348919,0.0378126,0.7470723,0.896446,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"159",2010,0.9140003,0.03331,0.8224296,0.9606108,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"160",2011,0.9457828,0.0316592,0.8387422,0.983195,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
"161",2012,0.7866987,0.0448339,0.6859961,0.8616203,"Black-legged kittiwake","Røst","Black-legged kittiwake-Røst"
